long,lat,CATEGORY
6636341.975,1960008.730,Drunk in Public
6634022.501,1959871.375,Drunk in Public
6635532.194,1959207.679,Drunk in Public
6635990.528,1959913.018,Drunk in Public
6635609.716,1961843.197,Drunk in Public
6635144.398,1959653.151,Drunk in Public
6636019.021,1959966.807,Drunk in Public
6636363.824,1959733.049,Drunk in Public
6636322.897,1960091.408,Drunk in Public
6636322.897,1960091.408,Drunk in Public
6638401.659,1964991.361,Drunk in Public
6636198.749,1959887.679,Drunk in Public
6636091.617,1960361.152,Drunk in Public
6636217.624,1960574.598,Drunk in Public
6636322.897,1960091.408,Drunk in Public
6636322.897,1960091.408,Drunk in Public
6636322.897,1960091.408,Drunk in Public
6636322.897,1960091.408,Drunk in Public
6636322.897,1960091.408,Drunk in Public
6636226.804,1959852.646,Drunk in Public
6644224.921,1964892.362,Drunk in Public
6635532.194,1959207.679,Drunk in Public
6630932.400,1962511.596,Drunk in Public
6649113.499,1965483.626,Drunk in Public
6636576.766,1958967.854,Drunk in Public
6626710.960,1966629.847,Drunk in Public
6629170.999,1966480.626,Drunk in Public
6631307.499,1962495.750,Drunk in Public
6624350.369,1963945.228,Drunk in Public
6630665.548,1966637.878,Drunk in Public
6634657.836,1960028.231,Drunk in Public
6637302.000,1961597.500,Drunk in Public
6635684.163,1959845.687,Drunk in Public
6636182.197,1960548.516,Drunk in Public
6636576.766,1958967.854,Drunk in Public
6648329.051,1965413.909,Drunk in Public
6635491.730,1959695.796,Drunk in Public
6626710.960,1966629.847,Drunk in Public
6636300.880,1960008.922,Drunk in Public
6636322.897,1960091.408,Drunk in Public
6631378.976,1965819.255,Drunk in Public
6632796.386,1964362.036,Drunk in Public
6631191.254,1966129.959,Drunk in Public
6638668.936,1964404.337,Drunk in Public
6635722.499,1959764.751,Drunk in Public
6641058.999,1957331.873,Drunk in Public
6649041.238,1962367.832,Drunk in Public
6631378.976,1965819.255,Drunk in Public
6633908.641,1964474.786,Drunk in Public
6638919.834,1963445.356,Drunk in Public
6636333.496,1960045.476,Drunk in Public
6636322.897,1960091.408,Drunk in Public
6634783.306,1960022.231,Drunk in Public
6636236.501,1960376.874,Drunk in Public
6646236.794,1966697.472,Drunk in Public
6633927.848,1962487.724,Drunk in Public
6635565.424,1959256.028,Drunk in Public
6636415.125,1959893.643,Drunk in Public
6633330.595,1960866.807,Drunk in Public
6634778.001,1961033.124,Drunk in Public
6635203.998,1959152.000,Drunk in Public
6636322.897,1960091.408,Drunk in Public
6636352.868,1959919.954,Drunk in Public
6638919.834,1963445.356,Drunk in Public
6636152.104,1959427.704,Drunk in Public
6636855.371,1964872.787,Drunk in Public
6639644.999,1963461.376,Drunk in Public
6636855.371,1964872.787,Drunk in Public
6639223.985,1958559.847,Drunk in Public
6636415.125,1959893.643,Drunk in Public
6634487.501,1960889.374,Drunk in Public
6636322.897,1960091.408,Drunk in Public
6636034.001,1961313.750,Drunk in Public
6637453.283,1966058.644,Drunk in Public
6636226.956,1960529.777,Drunk in Public
6636322.897,1960091.408,Drunk in Public
6625941.228,1961303.905,Drunk in Public
6626710.960,1966629.847,Drunk in Public
6630165.999,1965811.745,Drunk in Public
6636352.868,1959919.954,Drunk in Public
6634723.749,1959742.258,Drunk in Public
6642119.135,1960754.831,Drunk in Public
6636855.371,1964872.787,Drunk in Public
6630746.067,1965848.620,Drunk in Public
6636352.868,1959919.954,Drunk in Public
6625551.543,1962441.129,Drunk in Public
6631267.791,1961927.012,Drunk in Public
6636347.000,1959898.001,Drunk in Public
6631275.446,1965153.261,Drunk in Public
6636376.845,1959884.540,Drunk in Public
6637705.630,1966421.893,Drunk in Public
6630724.999,1966617.626,Drunk in Public
6636093.659,1960962.155,Drunk in Public
6636333.496,1960045.476,Drunk in Public
6630206.152,1960889.843,Drunk in Public
6628743.207,1961629.387,Drunk in Public
6636236.501,1960376.874,Drunk in Public
6639841.002,1967425.375,Drunk in Public
6636415.125,1959893.643,Drunk in Public
6638919.834,1963445.356,Drunk in Public
6630749.200,1965979.437,Drunk in Public
6639808.720,1957896.150,Drunk in Public
6630935.417,1960873.750,Drunk in Public
6636236.501,1960376.874,Drunk in Public
6635427.000,1962729.751,DUI
6634642.001,1966138.626,DUI
6633471.500,1960847.751,DUI
6642510.499,1965223.624,DUI
6621932.925,1961081.332,DUI
6630724.999,1966617.626,DUI
6639533.500,1964964.875,DUI
6637408.000,1961135.375,DUI
6629154.001,1960878.250,DUI
6629056.243,1961477.593,DUI
6631249.501,1965115.249,DUI
6641901.000,1963705.248,DUI
6628011.713,1960895.803,DUI
6649058.499,1962433.999,DUI
6636438.001,1958879.626,DUI
6630746.067,1965848.620,DUI
6630658.999,1960853.750,DUI
6632012.500,1960845.250,DUI
6641186.001,1967485.251,DUI
6649048.502,1963257.500,DUI
6622769.999,1965118.876,DUI
6639713.500,1958547.001,DUI
6630935.417,1960873.750,DUI
6637722.000,1961191.251,DUI
6637909.000,1960364.875,DUI
6630617.283,1960875.244,DUI
6630645.197,1961493.279,DUI
6632930.500,1960844.125,DUI
6631788.000,1960857.626,DUI
6630658.999,1960853.750,DUI
6641734.852,1962832.528,DUI
6651723.200,1963148.441,DUI
6649111.001,1964640.126,DUI
6638480.850,1958569.843,DUI
6636034.001,1961313.750,DUI
6641047.999,1959568.998,DUI
6632377.000,1962476.873,DUI
6649048.502,1963257.500,DUI
6630206.152,1960889.843,DUI
6639713.500,1958547.001,DUI
6635921.000,1960297.876,DUI
6643131.500,1960857.126,DUI
6633471.500,1960847.751,DUI
6630724.999,1966617.626,DUI
6637513.501,1960660.501,DUI
6629170.999,1966480.626,DUI
6632930.500,1960844.125,DUI
6630683.999,1962493.875,DUI
6636438.001,1958879.626,DUI
6632012.500,1960845.250,DUI
6630658.999,1960853.750,DUI
6636415.125,1959893.643,DUI
6632363.999,1960841.124,DUI
6639287.999,1965299.499,DUI
6630645.197,1961493.279,DUI
6636513.999,1960442.501,DUI
6630658.999,1960853.750,DUI
6638501.001,1958559.376,DUI
6632930.500,1960844.125,DUI
6637563.000,1962302.751,DUI
6649133.424,1965458.262,DUI
6639838.246,1962231.597,DUI
6630617.283,1960875.244,DUI
6652071.940,1963054.636,DUI
6631378.976,1965819.255,DUI
6628011.713,1960895.803,DUI
6636030.001,1959832.124,DUI
6633804.499,1960838.749,DUI
6630165.999,1965811.745,DUI
6632377.000,1962476.873,DUI
6639713.500,1958547.001,DUI
6643752.501,1961376.499,DUI
6628101.000,1964560.251,DUI
6629792.999,1960884.501,DUI
6635692.999,1962791.126,DUI
6641738.001,1961493.124,DUI
6635921.000,1960297.876,DUI
6626698.999,1966182.876,DUI
6635891.526,1964426.223,DUI
6638272.378,1966695.017,DUI
6638557.000,1966772.000,DUI
6626173.620,1964374.889,DUI
6630718.502,1965533.001,DUI
6635722.499,1959764.751,DUI
6639901.000,1960949.749,DUI
6638321.667,1958053.707,DUI
6630658.999,1960853.750,DUI
6636141.000,1960844.501,DUI
6628011.713,1960895.803,DUI
6635821.999,1960782.374,DUI
6644113.002,1961286.501,DUI
6632377.000,1962476.873,DUI
6630684.692,1961465.025,DUI
6635532.194,1959207.679,DUI
6649084.000,1961821.877,DUI
6629199.999,1966164.126,DUI
6634487.501,1960889.374,DUI
6630733.501,1966159.251,DUI
6634487.501,1960889.374,DUI
6635830.501,1959294.374,DUI
